[2023-11-28 11:35:03.835352]: Filename: jobtwo.txt, Line Count: 200, Time: 1958, Type: write, Job Created
[2023-11-28 11:35:03.835352]: Filename: jobtwo.txt, Line Count: 200, Time: 1958, Type: write, Job Started
[2023-11-28 11:35:03.835352]: Filename: jobtwo.txt, Line Count: 200, Time: 1958, Type: write, Job Failure: File Already Written
[2023-11-28 11:35:05.807780]: Filename: jobtwo.txt, Line Count: 200, Time: 1958, Type: write, Job Ended
[2023-11-28 11:35:05.808817]: Filename: jobone.txt, Line Count: 100, Time: 861, Type: write, Job Started
[2023-11-28 11:35:05.808817]: Filename: jobone.txt, Line Count: 100, Time: 861, Type: write, Job Failure: File Already Written
[2023-11-28 11:35:06.671624]: Filename: jobone.txt, Line Count: 100, Time: 861, Type: write, Job Ended
[2023-11-28 11:38:36.309434]: Filename: jobone.txt, Line Count: 100, Time: 3365, Type: write, Job Created
[2023-11-28 11:38:36.309434]: Filename: jobtwo.txt, Line Count: 200, Time: 891, Type: write, Job Created
[2023-11-28 11:38:36.314892]: Filename: jobtwo.txt, Line Count: 200, Time: 891, Type: write, Job Started
[2023-11-28 11:38:36.314892]: Filename: jobtwo.txt, Line Count: 200, Time: 891, Type: write, Job Failure: File Already Written
[2023-11-28 11:38:36.613234]: Filename: jobtwo.txt, Line Count: 200, Time: 891, Type: write, Job Completed
[2023-11-28 11:38:37.305507]: Filename: jobtwo.txt, Line Count: 200, Time: 891, Type: write, Job Ended
[2023-11-28 11:38:38.198419]: Filename: jobtwo.txt, Line Count: 200, Time: 891, Type: write, Job Ended
[2023-11-28 11:38:38.198419]: Filename: jobone.txt, Line Count: 100, Time: 3365, Type: write, Job Started
[2023-11-28 11:38:38.199459]: Filename: jobone.txt, Line Count: 100, Time: 3365, Type: write, Job Failure: File Already Written
[2023-11-28 11:38:38.350606]: Filename: jobone.txt, Line Count: 100, Time: 3365, Type: write, Job Completed
